,neighbors,smoothing,degree,burned_area,diurnal_temperature_range,landcover,precipitation,precipitation_obs,snow_cover_fraction,soil_moisture,surface_temperature,temperature_obs,terrestrial_water_storage
20,100,100.0,1,7320551.864362529,0.2914985031595042,,18.033458763770373,12.158391130225207,2.4298653557838183,0.012798342354716734,1.2379229658616346,0.7711436113150314,2.6991071099171537
21,100,100.0,2,12292277.984086605,1.1657418469354401,,55.05017186443132,16.97281285207318,4.537404825080456,0.02362143816651052,3.883834771592609,1.0923844396311986,5.85768186712532
22,100,1000.0,1,7130462.986134191,0.2280774803593883,,18.69158541513858,13.131170726403877,2.5152087494037056,0.013358924726735125,1.2204107173434082,0.8161159584849864,2.723649594695821
23,100,1000.0,2,12286524.064858535,1.2747353653765485,,57.14991389270221,18.370048185998662,4.474768202925813,0.02403217688059698,3.698158845103665,1.1581045521593587,6.208410890699105
24,200,,1,9186707.086036865,0.7564121530988096,,19.66808917459237,10.158842210112702,3.7038157621290577,0.01532421233983754,2.1643820282063517,0.6156999878405877,2.236553521450056
25,200,,2,9736038.284816394,0.8740321049040563,,31.83381986566746,11.993131516090665,4.248979806547979,0.018337795016167793,2.8830230034463558,0.7435098800890174,3.026052208754469
26,200,0.1,1,8937917.421844145,0.6573038505403175,,19.20962091864426,10.173454346303068,3.4748853103375548,0.014787109082138303,1.9736991234127292,0.6132358912445373,2.1817124862764845
27,200,0.1,2,9513570.65480185,0.7784057070978878,,32.22041564898561,11.97273246166222,3.8918629584328914,0.017774174153315083,2.338445161292809,0.7329210017549035,2.909357103369015
28,200,1.0,1,8309401.805653153,0.4663003295080094,,18.595914364019432,10.318162574385054,2.968492493302276,0.01343381891635462,1.496364759411588,0.6250972002143984,2.1188487077699363
29,200,1.0,2,9007465.590116177,0.49584478363159873,,30.516490206739547,12.012277142509857,3.3061118390909234,0.016311707035219135,1.9907461878231778,0.7227305903668255,2.8363535509819386
30,200,10.0,1,7366266.636021659,0.3549195516778806,,17.636425841677895,10.939109794442162,2.38197636306289,0.01220209323574582,1.2259626975778162,0.6707812771163179,2.214079040727901
31,200,10.0,2,8188427.423943976,0.26247493388438276,,24.503185875512962,12.539056023565884,2.6648500220057283,0.014958593814272647,1.8886673865550767,0.778180685769283,2.998960560746689
32,200,100.0,1,6773503.6269064685,0.3339576378999123,,16.880927792198722,11.993684149393362,2.3195755878878184,0.011742404013426183,1.1419868925072463,0.7078842065870274,2.2000253363340714
33,200,100.0,2,7687712.951390338,0.24541645315500382,,24.38408095879846,13.559192945121627,2.716661362234591,0.014538655181614893,1.534190533519406,0.8539294511811859,3.181176523297298
34,200,1000.0,1,6729653.697628275,0.31263933333309457,,17.205521183962702,13.083384567095253,2.421591473852247,0.012321835713339745,1.134343053921153,0.7481268477883628,2.1374654433342077
35,200,1000.0,2,7632470.775701898,0.2862593771626075,,26.35594260581039,14.746548803267974,2.9413940299416947,0.01485531818098027,1.4112810622687828,0.9082302810608498,3.294005696156403
